error,0.cx,0.cy,0.r,1.cx,1.cy,1.r,2.cx,2.cy,2.r
0.5451431750551696,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0.25474583613835694,0.0,0.0,1.0,1.0711980996743602,0.0,0.7813071403485459,0.19956767604494918,1.0711980996743602,0.7813071403485459
0.17182853225520303,0.0,0.0,1.0,1.0738410518490575,0.0,0.6671545356049271,0.2762847162232328,1.0572269227515325,0.6687004544886864
0.15804933002520855,0.0,0.0,1.0,1.0632201814481235,0.0,0.7838761043354315,0.2754220578896974,1.0465765247181367,0.6438736715544155
0.1202226699853895,0.0,0.0,1.0,1.072067334105453,0.0,0.699337242132258,0.30996580947949187,1.0390637818512913,0.5825124782685572
0.12608573273953586,0.0,0.0,1.0,1.10411849911683,0.0,0.7749170676881296,0.3092977851532735,1.0295787221542614,0.5666313428612687
0.13424166132446402,0.0,0.0,1.0,1.0909101958186136,0.0,0.7702858564233664,0.3251901214353231,1.0529063999174901,0.6490763280580946
0.11329371145439439,0.0,0.0,1.0,1.0977403283647322,0.0,0.6995038070205152,0.35415686222653947,1.0458367114208138,0.5953697010419269
0.1046963980655893,0.0,0.0,1.0,1.125360767743917,0.0,0.7725569280545779,0.3563700052391034,1.0360297001867371,0.585954009811397
0.1174038627195693,0.0,0.0,1.0,1.1188361574282546,0.0,0.7579956136853253,0.35519071383826595,1.0309822760765919,0.6572953364880706
0.11698754497798694,0.0,0.0,1.0,1.1224528515113954,0.0,0.6980690654974435,0.38278381303570314,1.023349603584019,0.6090243477430806
0.09493045537796085,0.0,0.0,1.0,1.113634256677802,0.0,0.7773889820773845,0.3804990847819226,1.0157536694363154,0.5924760244645502
0.11136725828740163,0.0,0.0,1.0,1.1075068443541105,0.0,0.7643352843617461,0.3795246221717179,1.010947074287396,0.6571581752127338
0.09894311823646867,0.0,0.0,1.0,1.1085770549810852,0.0,0.7083357700534788,0.4098034052674603,0.9986215289499429,0.6138974341202683
0.08424721339769546,0.0,0.0,1.0,1.1007123431622374,0.0,0.7754199475579644,0.4080613307714307,0.9917845684208717,0.6002939970383505
0.0850984395539641,0.0,0.0,1.0,1.0998367173918193,0.0,0.7236068893767506,0.4297818379920862,1.003878914722423,0.6135003283995418
0.06871751309896346,0.0,0.0,1.0,1.0809243465849343,0.0,0.7556105654629949,0.44776008631967923,0.9760477500633583,0.6461920792143224
0.07318437259532257,0.0,0.0,1.0,1.0799347839323186,0.0,0.7220272380370475,0.4686169367465016,0.9631185137059204,0.6220501062329594
0.05383975417807753,0.0,0.0,1.0,1.0917478905705322,0.0,0.7703456658357213,0.47013748637215985,0.950968723093468,0.6215331577908403
0.06337016286197714,0.0,0.0,1.0,1.0940207459768179,0.0,0.736716353483161,0.4826591117280974,0.9616162213953942,0.6252902219412677
0.05460926558928218,0.0,0.0,1.0,1.0634549943049034,0.0,0.7678455538895455,0.4870798977443428,0.9549855148225771,0.6262541116128637
0.05699047954987374,0.0,0.0,1.0,1.070823280236078,0.0,0.7330262480012318,0.48948156962188055,0.9445406993570344,0.6173251515841548
0.055815645373036696,0.0,0.0,1.0,1.07967274768985,0.0,0.7706190052023523,0.49050424787403757,0.9345958724811992,0.6173908133958308
0.05778020334442414,0.0,0.0,1.0,1.0801966822727949,0.0,0.7566599316214204,0.48821041414683547,0.9376304941118172,0.6536804596771887
0.0498159062702522,0.0,0.0,1.0,1.067888153867917,0.0,0.7414015338405288,0.49925423282906334,0.940115679282543,0.6201628556529756
